Area name,SOC code,SOC title,Est. empl.,Avg. wage,25th P,50th P,75th P,Annual wage,,Index
"Bellingham, WA",19-2031,Chemists,62,$28.12,$22.89,$23.48,$33.82,"$58,500",,
"Bellingham, WA",11-1011,Chief Executives,44,$115.20,$75.22,$98.36,-,"$239,610",,
"Bellingham, WA",21-1021,"Child, Family, and School Social Workers",248,$28.74,$21.26,$27.33,$34.11,"$59,780",,
"Bellingham, WA",39-9011,Childcare Workers,-,$16.12,$15.14,$15.67,$16.60,"$33,530",,
"Bellingham, WA",29-1011,Chiropractors,27,$48.91,$35.79,$46.01,$63.91,"$101,740",,
"Bellingham, WA",17-3022,Civil Engineering Technologists and Technicians,30,$34.36,$30.61,$33.20,$35.86,"$71,480",,
"Bellingham, WA",17-2051,Civil Engineers,307,$44.47,$36.55,$42.61,$50.00,"$92,510",,
"Bellingham, WA",13-1031,"Claims Adjusters, Examiners, and Investigators",46,$38.11,$26.11,$39.04,$45.68,"$79,260",,
"Bellingham, WA",53-7061,Cleaners of Vehicles and Equipment,264,$17.75,$15.09,$16.76,$18.92,"$36,930",,
"Bellingham, WA",21-2011,Clergy,21,$28.66,$22.18,$30.65,$34.96,"$59,620",,
"Bellingham, WA",29-2010,Clinical Laboratory Technologists and Technicians,150,$29.08,$21.15,$26.81,$36.62,"$60,490",,
"Bellingham, WA",27-2022,Coaches and Scouts,315,-,-,-,-,"$50,150",,
"Bellingham, WA",51-9124,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders",90,$23.42,$18.34,$21.79,$25.13,"$48,710",,
"Bellingham, WA",53-2012,Commercial Pilots,15,-,-,-,-,"$81,890",,
"Bellingham, WA",25-1122,"Communications Teachers, Postsecondary",25,-,-,-,-,"$76,270",,
"Bellingham, WA",21-1099,"Community and Social Service Specialists, All Other",73,$26.12,$18.10,$25.02,$32.11,"$54,340",,
"Bellingham, WA",21-1094,Community Health Workers,65,$19.60,$16.95,$17.02,$21.83,"$40,770",,
"Bellingham, WA",13-1141,"Compensation, Benefits, and Job Analysis Specialists",24,$38.99,$32.58,$37.71,$48.24,"$81,090",,
"Bellingham, WA",13-1041,Compliance Officers,674,$41.52,$30.52,$43.52,$50.54,"$86,350",,
"Bellingham, WA",11-3021,Computer and Information Systems Managers,130,$71.19,$56.90,$65.83,$80.56,"$148,070",,
"Bellingham, WA",17-2061,Computer Hardware Engineers,28,$62.78,$49.71,$63.49,$63.49,"$130,580",,
"Bellingham, WA",15-1241,Computer Network Architects,25,$55.48,$45.53,$49.97,$61.26,"$115,390",,
"Bellingham, WA",15-1231,Computer Network Support Specialists,64,$35.92,$26.20,$37.56,$39.90,"$74,710",,
"Bellingham, WA",51-9161,Computer Numerically Controlled Tool Operators,19,$23.01,$17.91,$22.05,$25.31,"$47,850",,
"Bellingham, WA",15-1299,"Computer Occupations, All Other",182,$50.36,$32.55,$47.10,$65.86,"$104,740",,
"Bellingham, WA",15-1251,Computer Programmers,-,$47.60,$43.75,$43.75,$45.61,"$99,010",,
"Bellingham, WA",25-1021,"Computer Science Teachers, Postsecondary",70,-,-,-,-,"$79,660",,
"Bellingham, WA",15-1211,Computer Systems Analysts,136,$52.90,$36.74,$45.65,$56.42,"$110,040",,
"Bellingham, WA",15-1232,Computer User Support Specialists,295,$29.34,$21.97,$27.85,$35.26,"$61,020",,
"Bellingham, WA",49-2011,"Computer, Automated Teller, and Office Machine Repairers",45,$24.28,$18.59,$23.95,$28.43,"$50,500",,
"Bellingham, WA",39-6012,Concierges,24,$16.87,$16.00,$16.69,$16.69,"$35,100",,
"Bellingham, WA",19-1031,Conservation Scientists,20,$38.56,$33.30,$35.56,$43.34,"$80,200",,
"Bellingham, WA",47-4011,Construction and Building Inspectors,114,$36.63,$30.38,$37.62,$42.61,"$76,180",,
"Bellingham, WA",47-2061,Construction Laborers,"1,035",$26.26,$20.73,$23.86,$29.73,"$54,620",,
"Bellingham, WA",11-9021,Construction Managers,265,$58.79,$45.78,$58.04,$63.90,"$122,280",,
"Bellingham, WA",49-9012,"Control and Valve Installers and Repairers, Except Mechanical Door",15,$36.93,$24.13,$36.11,$43.23,"$76,800",,
"Bellingham, WA",35-2011,"Cooks, Fast Food",181,$15.89,$14.77,$15.69,$16.63,"$33,050",,
"Bellingham, WA",35-2012,"Cooks, Institution and Cafeteria",258,$20.14,$17.76,$19.45,$21.55,"$41,890",,
"Bellingham, WA",35-2014,"Cooks, Restaurant","1,021",$18.76,$17.07,$17.59,$20.96,"$39,010",,
"Bellingham, WA",35-2015,"Cooks, Short Order",111,$17.26,$14.67,$17.01,$18.04,"$35,910",,
"Bellingham, WA",13-1051,Cost Estimators,154,$40.06,$29.40,$36.55,$47.87,"$83,330",,
"Bellingham, WA",41-2021,Counter and Rental Clerks,344,$18.10,$14.88,$17.01,$20.85,"$37,660",,
"Bellingham, WA",43-5021,Couriers and Messengers,35,$17.83,$15.68,$17.73,$18.11,"$37,090",,
"Bellingham, WA",43-4031,"Court, Municipal, and License Clerks",75,$27.76,$23.82,$28.30,$28.61,"$57,750",,
"Bellingham, WA",13-2041,Credit Analysts,30,$39.35,$28.48,$33.64,$45.11,"$81,860",,
"Bellingham, WA",33-9091,Crossing Guards and Flaggers,87,$28.38,$20.90,$27.22,$30.72,"$59,040",,
"Bellingham, WA",51-9021,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders",42,$23.16,$16.49,$22.50,$29.27,"$48,170",,
"Bellingham, WA",43-4051,Customer Service Representatives,"1,308",$20.36,$17.57,$18.34,$22.68,"$42,340",,
"Bellingham, WA",51-9032,"Cutting and Slicing Machine Setters, Operators, and Tenders",13,$21.97,$17.90,$19.46,$24.17,"$45,700",,
"Bellingham, WA",51-4031,"Cutting, Punching, & Press Machine Setters, Operators, & Tenders, Metal & Plastic",32,$23.68,$19.56,$23.55,$26.77,"$49,250",,
"Bellingham, WA",43-9021,Data Entry Keyers,52,$18.84,$17.67,$18.95,$19.64,"$39,180",,
"Bellingham, WA",15-1242,Database Administrators,50,-,-,-,-,-,,
"Bellingham, WA",31-9091,Dental Assistants,292,$22.59,$19.87,$22.13,$23.36,"$46,990",,
"Bellingham, WA",29-1292,Dental Hygienists,191,$49.78,$49.24,$49.84,$55.82,"$103,550",,
"Bellingham, WA",51-9081,Dental Laboratory Technicians,27,$24.84,$17.80,$23.21,$29.24,"$51,670",,
"Bellingham, WA",29-1021,"Dentists, General",78,-,-,-,-,-,,
"Bellingham, WA",33-3021,Detectives and Criminal Investigators,240,$56.19,$50.54,$50.54,$54.76,"$116,880",,
"Bellingham, WA",29-1031,Dietitians and Nutritionists,27,$31.37,$29.72,$29.72,$36.72,"$65,250",,
"Bellingham, WA",35-9011,Dining Room and Cafeteria Attendants and Bartender Helpers,163,$16.80,$14.72,$15.08,$16.95,"$34,940",,
"Bellingham, WA",35-9021,Dishwashers,416,$16.72,$14.76,$16.02,$17.09,"$34,780",,
"Bellingham, WA",43-5032,"Dispatchers, Except Police, Fire, and Ambulance",158,$25.07,$17.41,$23.30,$30.67,"$52,150",,
"Bellingham, WA",53-3031,Driver/Sales Workers,269,$23.07,$16.37,$21.81,$27.66,"$47,980",,
"Bellingham, WA",47-2081,Drywall and Ceiling Tile Installers,117,$32.24,$27.64,$31.74,$38.12,"$67,050",,
"Bellingham, WA",27-3041,Editors,71,$30.59,$19.90,$26.88,$37.46,"$63,620",,
"Bellingham, WA",11-9039,"Education Administrators, All Other",22,$36.77,$21.13,$30.77,$39.88,"$76,480",,
"Bellingham, WA",11-9032,"Education Administrators, Kindergarten through Secondary",173,-,-,-,-,"$134,330",,
"Bellingham, WA",11-9033,"Education Administrators, Postsecondary",79,$54.60,$38.28,$46.18,$61.86,"$113,560",,
"Bellingham, WA",11-9031,"Education and Childcare Administrators, Preschool and Daycare",20,$28.52,$21.06,$23.42,$29.67,"$59,310",,
"Bellingham, WA",25-9099,"Educational Instruction and Library Workers, All Other",61,$28.34,$21.94,$30.95,$31.37,"$58,940",,
"Bellingham, WA",21-1012,"Educational, Guidance, and Career Counselors and Advisors",192,$34.24,$25.82,$27.56,$41.32,"$71,210",,
"Bellingham, WA",17-3023,Electrical and Electronic Engineering Technologists and Technicians,33,$34.63,$29.05,$33.71,$36.11,"$72,030",,
"Bellingham, WA",17-2071,Electrical Engineers,98,$54.03,$39.64,$49.48,$66.61,"$112,380",,
"Bellingham, WA",49-9051,Electrical Power-Line Installers and Repairers,33,$59.20,$51.17,$60.23,$66.65,"$123,140",,
"Bellingham, WA",51-2028,Electrical/Electronic/Electromechanical Assemblers Only,207,$20.21,$18.19,$18.24,$21.94,"$42,050",,
"Bellingham, WA",47-2111,Electricians,557,$38.21,$29.67,$39.77,$49.79,"$79,490",,
"Bellingham, WA",25-2021,"Elementary School Teachers, Except Special Education",887,-,-,-,-,"$83,960",,
"Bellingham, WA",43-4061,"Eligibility Interviewers, Government Programs",56,$27.57,$24.41,$28.69,$30.16,"$57,350",,
"Bellingham, WA",17-3029,"Engineering Technologists and Technicians, Except Drafters, All Other",38,$28.59,$18.00,$26.91,$35.00,"$59,480",,
"Bellingham, WA",17-2199,"Engineers, All Other",41,$57.91,$49.69,$54.41,$64.86,"$120,460",,
"Bellingham, WA",25-1123,"English Language and Literature Teachers, Postsecondary",67,-,-,-,-,"$68,190",,
"Bellingham, WA",11-9072,"Entertainment and Recreation Managers, Except Gambling",15,$56.14,$46.93,$56.08,$65.25,"$116,780",,
"Bellingham, WA",39-1014,"Entertainment and Recreation Workers Supervisors, Except Gambling Services",36,$27.36,$18.49,$26.45,$35.25,"$56,900",,
"Bellingham, WA",25-1053,"Environmental Science Teachers, Postsecondary",25,-,-,-,-,"$59,570",,
"Bellingham, WA",19-2041,"Environmental Scientists and Specialists, Including Health",78,$40.59,$29.62,$35.50,$45.83,"$84,430",,
"Bellingham, WA",47-5022,"Excavating and Loading Machine and Dragline Operators, Surface Mining",27,$30.46,$26.51,$28.44,$33.27,"$63,350",,
"Bellingham, WA",43-6011,Executive Secretaries and Executive Administrative Assistants,203,$32.01,$28.25,$32.30,$34.32,"$66,580",,
"Bellingham, WA",39-9031,Exercise Trainers and Group Fitness Instructors,265,$24.49,$16.82,$21.82,$27.42,"$50,940",,
"Bellingham, WA",11-3013,Facilities Managers,47,$51.32,$37.35,$49.47,$60.55,"$106,750",,
"Bellingham, WA",25-9021,Farm and Home Management Educators,19,$25.66,$23.80,$24.41,$28.63,"$53,380",,
"Bellingham, WA",49-3041,Farm Equipment Mechanics and Service Technicians,99,$31.46,$23.46,$30.76,$37.38,"$65,430",,
"Bellingham, WA",45-2092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",93,$17.91,$15.19,$17.28,$18.69,"$37,240",,
"Bellingham, WA",45-2093,"Farmworkers, Farm, Ranch, and Aquacultural Animals",89,$17.86,$15.89,$17.28,$17.54,"$37,140",,
"Bellingham, WA",35-3023,Fast Food and Counter Workers,"2,942",$15.94,$14.65,$16.00,$16.72,"$33,150",,
"Bellingham, WA",51-2051,Fiberglass Laminators and Fabricators,46,$23.46,$18.59,$21.99,$24.46,"$48,800",,
"Bellingham, WA",43-4071,File Clerks,30,$17.99,$14.49,$15.69,$18.85,"$37,420",,
"Bellingham, WA",13-2051,Financial and Investment Analysts,43,$43.22,$34.70,$43.91,$46.84,"$89,890",,
"Bellingham, WA",11-3031,Financial Managers,215,$68.91,$51.74,$64.03,$80.04,"$143,340",,
"Bellingham, WA",13-2099,"Financial Specialists, All Other",66,$32.43,$24.76,$26.18,$37.63,"$67,460",,
"Bellingham, WA",33-2011,Firefighters,306,$37.96,$31.07,$38.68,$46.06,"$78,960",,
"Bellingham, WA",47-1011,First-Line Supervisors of Construction Trades and Extraction Workers,745,$47.28,$38.44,$48.07,$52.14,"$98,330",,
"Bellingham, WA",45-1011,"First-Line Supervisors of Farming, Fishing, and Forestry Workers",44,$30.29,$22.21,$30.00,$37.19,"$63,000",,
"Bellingham, WA",33-1021,First-Line Supervisors of Firefighting and Prevention Workers,159,$50.65,$41.48,$53.05,$59.15,"$105,350",,
"Bellingham, WA",35-1012,First-Line Supervisors of Food Preparation and Serving Workers,898,$22.06,$17.35,$21.10,$24.56,"$45,890",,
"Bellingham, WA",39-1013,First-Line Supervisors of Gambling Services Workers,-,$26.47,$22.15,$29.35,$29.35,"$55,060",,
"Bellingham, WA",37-1011,First-Line Supervisors of Housekeeping and Janitorial Workers,91,$24.74,$18.31,$23.83,$28.40,"$51,470",,
"Bellingham, WA",37-1012,"First-Line Supervisors of Landscaping, Lawn Service, and Groundskeeping Workers",39,$33.09,$24.57,$29.09,$41.81,"$68,820",,
"Bellingham, WA",49-1011,"First-Line Supervisors of Mechanics, Installers, and Repairers",326,$38.34,$29.85,$36.97,$45.85,"$79,760",,
"Bellingham, WA",41-1012,First-Line Supervisors of Non-Retail Sales Workers,127,$45.60,$30.61,$37.71,$52.67,"$94,850",,
"Bellingham, WA",43-1011,First-Line Supervisors of Office and Administrative Support Workers,805,$32.41,$25.11,$30.43,$37.72,"$67,410",,
"Bellingham, WA",39-1022,First-Line Supervisors of Personal Service Workers,63,$25.66,$20.28,$23.26,$29.73,"$53,360",,
"Bellingham, WA",33-1012,First-Line Supervisors of Police and Detectives,95,$58.49,$52.15,$58.03,$59.48,"$121,670",,
"Bellingham, WA",51-1011,First-Line Supervisors of Production and Operating Workers,620,$32.76,$26.34,$32.08,$37.53,"$68,140",,
"Bellingham, WA",33-1099,"First-Line Supervisors of Protective Service Workers, All Other",40,$31.01,$22.93,$28.88,$38.93,"$64,500",,
"Bellingham, WA",41-1011,First-Line Supervisors of Retail Sales Workers,874,$24.72,$18.34,$22.54,$28.42,"$51,410",,
"Bellingham, WA",33-1091,First-Line Supervisors of Security Workers,29,$24.59,$18.81,$22.02,$28.68,"$51,150",,
"Bellingham, WA",47-2042,"Floor Layers, Except Carpet, Wood, and Hard Tiles",24,$20.93,$19.12,$19.55,$21.28,"$43,530",,
"Bellingham, WA",27-1023,Floral Designers,33,$18.12,$16.78,$17.50,$18.95,"$37,700",,
"Bellingham, WA",51-3091,"Food and Tobacco Roasting, Baking, and Drying Machine Operators and Tenders",33,$18.69,$15.33,$16.67,$19.39,"$38,880",,
"Bellingham, WA",51-3092,Food Batchmakers,353,$18.77,$16.88,$18.99,$19.47,"$39,050",,
"Bellingham, WA",35-2021,Food Preparation Workers,525,$17.49,$15.87,$17.24,$18.16,"$36,390",,
"Bellingham, WA",19-4013,Food Science Technicians,25,$18.45,$17.89,$18.08,$18.08,"$38,370",,
"Bellingham, WA",19-1012,Food Scientists and Technologists,12,$25.89,$21.76,$22.04,$29.63,"$53,840",,
"Bellingham, WA",35-3041,"Food Servers, Nonrestaurant",234,$18.85,$15.38,$16.57,$17.62,"$39,220",,
"Bellingham, WA",11-9051,Food Service Managers,82,$40.07,$29.26,$36.10,$48.93,"$83,340",,
"Bellingham, WA",25-1124,"Foreign Language and Literature Teachers, Postsecondary",17,-,-,-,-,"$78,820",,
"Bellingham, WA",19-4071,Forest and Conservation Technicians,18,$23.13,$19.16,$19.16,$29.31,"$48,110",,
"Bellingham, WA",13-1131,Fundraisers,77,$30.86,$26.13,$28.65,$34.31,"$64,180",,
"Bellingham, WA",11-2033,Fundraising Managers,18,$52.85,$39.97,$49.25,$63.15,"$109,920",,
"Bellingham, WA",51-9051,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders",21,$20.54,$15.38,$17.76,$20.73,"$42,730",,
"Bellingham, WA",39-3011,Gambling Dealers,87,$22.70,$14.49,$15.11,$34.60,"$47,210",,
"Bellingham, WA",33-9031,Gambling Surveillance Officers and Gambling Investigators,18,$17.94,$16.94,$17.80,$19.10,"$37,310",,
"Bellingham, WA",11-1021,General and Operations Managers,"1,431",$59.45,$36.24,$48.65,$73.32,"$123,650",,
"Bellingham, WA",27-1024,Graphic Designers,124,$29.38,$21.20,$28.54,$39.61,"$61,120",,
"Bellingham, WA",51-4033,"Grind/Lap/Polish/Buff. Mach. Tool Setters, Oprs, & Tenders, Metal & Plastic",15,$20.13,$17.62,$19.00,$21.20,"$41,860",,
"Bellingham, WA",39-5012,"Hairdressers, Hairstylists, and Cosmetologists",148,$21.51,$17.60,$21.01,$22.86,"$44,740",,
"Bellingham, WA",17-2111,"Health and Safety Engineers, Except Mining Safety Engineers and Inspectors",15,$44.28,$37.17,$44.35,$56.00,"$92,090",,
"Bellingham, WA",29-2099,"Health Technologists and Technicians, All Other",79,$28.12,$19.93,$23.49,$35.92,"$58,500",,
"Bellingham, WA",29-1299,"Healthcare Diagnosing or Treating Practitioners, All Other",25,$62.05,$39.26,$53.48,$81.54,"$129,070",,
"Bellingham, WA",29-9099,"Healthcare Practitioners and Technical Workers, All Other",23,$39.54,$28.85,$35.62,$51.95,"$82,240",,
"Bellingham, WA",21-1022,Healthcare Social Workers,162,$30.87,$27.88,$29.66,$35.18,"$64,210",,
"Bellingham, WA",31-9099,"Healthcare Support Workers, All Other",78,$23.59,$19.17,$22.91,$26.48,"$49,060",,
"Bellingham, WA",49-9021,"Heating, Air Conditioning, and Refrigeration Mechanics and Installers",306,$30.29,$22.38,$29.10,$35.22,"$63,000",,
"Bellingham, WA",53-3032,Heavy and Tractor-Trailer Truck Drivers,"1,150",$27.86,$23.41,$26.82,$30.61,"$57,960",,
"Bellingham, WA",47-3012,Helpers--Carpenters,11,$23.31,$16.34,$25.28,$29.53,"$48,480",,
"Bellingham, WA",49-9098,"Helpers--Installation, Maintenance, and Repair Workers",60,$17.49,$15.13,$17.42,$18.04,"$36,380",,
"Bellingham, WA",51-9198,Helpers--Production Workers,39,$18.30,$16.85,$17.92,$19.08,"$38,070",,
"Bellingham, WA",47-4051,Highway Maintenance Workers,67,$27.80,$26.60,$27.33,$29.43,"$57,830",,
"Bellingham, WA",49-9031,Home Appliance Repairers,-,$22.66,$17.28,$21.81,$28.43,"$47,130",,
"Bellingham, WA",31-1120,Home Health and Personal Care Aides,"2,311",$17.53,$16.62,$16.80,$18.47,"$36,460",,
"Bellingham, WA",35-9031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",254,$16.57,$14.77,$16.03,$17.05,"$34,460",,
"Bellingham, WA",43-4081,"Hotel, Motel, and Resort Desk Clerks",199,$16.08,$14.80,$15.34,$16.66,"$33,440",,
"Bellingham, WA",43-4161,"Human Resources Assistants, Except Payroll and Timekeeping",47,$22.87,$20.38,$23.28,$25.16,"$47,570",,
"Bellingham, WA",11-3121,Human Resources Managers,49,$59.90,$47.25,$58.62,$68.09,"$124,590",,
"Bellingham, WA",13-1071,Human Resources Specialists,371,$37.69,$28.22,$33.86,$42.49,"$78,400",,
"Bellingham, WA",17-2112,Industrial Engineers,79,$43.62,$36.47,$43.94,$48.19,"$90,730",,
"Bellingham, WA",49-9041,Industrial Machinery Mechanics,367,$32.28,$26.99,$31.84,$38.43,"$67,150",,
"Bellingham, WA",11-3051,Industrial Production Managers,87,$55.34,$45.67,$51.08,$59.90,"$115,120",,
"Bellingham, WA",53-7051,Industrial Truck and Tractor Operators,291,$21.29,$18.38,$20.11,$22.80,"$44,280",,
"Bellingham, WA",43-4199,"Information and Record Clerks, All Other",61,$20.49,$17.74,$20.48,$22.15,"$42,620",,
"Bellingham, WA",15-1212,Information Security Analysts,19,$49.13,$38.22,$47.16,$56.75,"$102,190",,
"Bellingham, WA",51-9061,"Inspectors, Testers, Sorters, Samplers, and Weighers",263,$24.05,$19.52,$22.65,$28.05,"$50,020",,
"Bellingham, WA",49-9099,"Installation, Maintenance, and Repair Workers, All Other",45,$21.21,$17.18,$20.04,$23.54,"$44,120",,
"Bellingham, WA",25-9031,Instructional Coordinators,144,$38.06,$27.50,$37.80,$51.32,"$79,160",,
"Bellingham, WA",43-9041,Insurance Claims and Policy Processing Clerks,30,$23.94,$19.64,$23.56,$27.01,"$49,800",,
"Bellingham, WA",41-3021,Insurance Sales Agents,258,$29.03,$21.73,$23.09,$32.02,"$60,390",,
"Bellingham, WA",13-2053,Insurance Underwriters,41,$42.65,$31.50,$31.50,$57.54,"$88,710",,
"Bellingham, WA",27-1025,Interior Designers,23,$28.03,$23.14,$27.39,$31.52,"$58,300",,
"Bellingham, WA",37-2011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners","1,400",$18.85,$15.88,$16.91,$21.77,"$39,210",,
"Bellingham, WA",23-1023,"Judges, Magistrate Judges, and Magistrates",15,$93.45,$47.99,$66.53,$100.29,"$194,370",,
"Bellingham, WA",25-2012,"Kindergarten Teachers, Except Special Education",140,-,-,-,-,"$78,910",,
"Bellingham, WA",53-7062,"Laborers and Freight, Stock, and Material Movers, Hand","1,237",$18.86,$16.09,$17.74,$20.25,"$39,220",,
"Bellingham, WA",37-3011,Landscaping and Groundskeeping Workers,615,$20.14,$17.47,$18.35,$22.53,"$41,900",,
"Bellingham, WA",51-6011,Laundry and Dry-Cleaning Workers,94,$16.10,$14.50,$15.40,$16.98,"$33,480",,
"Bellingham, WA",23-1011,Lawyers,171,$56.39,$37.68,$44.69,$62.49,"$117,300",,
"Bellingham, WA",43-6012,Legal Secretaries and Administrative Assistants,89,$22.68,$16.71,$20.68,$27.06,"$47,170",,
"Bellingham, WA",11-1031,Legislators,39,-,-,-,-,"$117,050",,
"Bellingham, WA",25-4022,Librarians and Media Collections Specialists,94,$39.77,$30.99,$37.61,$47.58,"$82,720",,
"Bellingham, WA",43-4121,"Library Assistants, Clerical",194,$18.37,$15.34,$16.66,$21.86,"$38,200",,
"Bellingham, WA",25-4031,Library Technicians,88,$24.40,$21.39,$22.28,$28.55,"$50,740",,
"Bellingham, WA",29-2061,Licensed Practical and Licensed Vocational Nurses,152,$30.30,$26.59,$29.82,$34.34,"$63,030",,
"Bellingham, WA",33-9092,"Lifeguards, Ski Patrol, and Other Recreational Protective Service Workers",145,$15.25,$14.49,$14.62,$15.47,"$31,720",,
"Bellingham, WA",53-3033,Light Truck Drivers,443,$23.77,$17.02,$20.47,$30.32,"$49,440",,
"Bellingham, WA",43-4131,Loan Interviewers and Clerks,158,$23.71,$21.27,$22.19,$26.31,"$49,330",,
"Bellingham, WA",13-2072,Loan Officers,315,$36.85,$23.52,$29.54,$39.37,"$76,650",,
"Bellingham, WA",11-9081,Lodging Managers,28,$31.17,$21.73,$29.72,$38.45,"$64,830",,
"Bellingham, WA",45-4023,Log Graders and Scalers,27,$21.85,$20.53,$21.20,$22.36,"$45,440",,
"Bellingham, WA",45-4029,"Logging Workers, All Other",35,$29.50,$24.78,$28.95,$32.83,"$61,360",,
"Bellingham, WA",13-1081,Logisticians,59,$33.17,$30.36,$30.81,$38.52,"$69,000",,
